road_id,flood_direct_count,flood_direct_exposure,flood_events_5km,flood_events_10km,flood_nearby_5km,flood_nearby_10km,nearest_flood_distance_km
48732287,0,0,0,0,0,0,37.50128057225774
48732308,3,1,3,3,1,1,0.0
48732311,3,1,3,3,1,1,0.0
51188429,6,1,11,12,1,1,0.0
51188437,6,1,12,12,1,1,0.0
51188438,6,1,12,12,1,1,0.0
51188439,6,1,11,12,1,1,0.0
51188447,6,1,12,12,1,1,0.0
51188915,6,1,12,12,1,1,0.0
51188916,6,1,12,12,1,1,0.0
51188917,6,1,12,12,1,1,0.0
51188918,6,1,12,12,1,1,0.0
51188919,6,1,12,12,1,1,0.0
51188920,6,1,12,12,1,1,0.0
51188921,6,1,12,12,1,1,0.0
51188922,6,1,12,12,1,1,0.0
51188923,6,1,12,12,1,1,0.0
51188924,6,1,12,12,1,1,0.0
51188925,6,1,12,12,1,1,0.0
51188926,6,1,12,12,1,1,0.0
51188929,6,1,12,12,1,1,0.0
51188930,6,1,12,12,1,1,0.0
51188931,6,1,12,12,1,1,0.0
51188932,6,1,12,12,1,1,0.0
51188934,6,1,12,12,1,1,0.0
51189484,6,1,12,12,1,1,0.0
51189486,6,1,12,12,1,1,0.0
51189489,6,1,12,12,1,1,0.0
51189490,6,1,12,12,1,1,0.0
51189491,6,1,12,12,1,1,0.0
51189492,6,1,12,12,1,1,0.0
51189494,6,1,12,12,1,1,0.0
51189498,6,1,12,12,1,1,0.0
51189499,6,1,12,12,1,1,0.0
51189500,6,1,12,12,1,1,0.0
51252535,6,1,6,12,1,1,0.0
51252536,6,1,6,12,1,1,0.0
51252537,6,1,6,12,1,1,0.0
51252624,6,1,6,12,1,1,0.0
51252625,6,1,6,12,1,1,0.0
51252626,6,1,6,12,1,1,0.0
51252627,6,1,6,12,1,1,0.0
51252628,6,1,12,12,1,1,0.0
51252630,6,1,6,12,1,1,0.0
51252631,6,1,6,12,1,1,0.0
52116564,0,0,0,0,0,0,28.981725458750358
52116566,0,0,0,0,0,0,27.590073723331454
52116567,0,0,0,0,0,0,27.229622598294295
52116569,0,0,0,0,0,0,26.36255494502657
52116570,0,0,0,0,0,0,26.219130133651305
52116572,0,0,0,0,0,0,25.220000289359803
52116578,0,0,0,0,0,0,26.629299930243878
52116579,0,0,0,0,0,0,26.820096818480543
53216589,11,1,13,13,1,1,0.0
53216590,6,1,13,13,1,1,0.0
53216599,6,1,13,13,1,1,0.0
53216601,11,1,13,13,1,1,0.0
53216615,11,1,11,11,1,1,0.0
53216620,11,1,11,11,1,1,0.0
53216622,11,1,11,12,1,1,0.0
53216625,11,1,11,13,1,1,0.0
53216634,11,1,11,12,1,1,0.0
53216637,11,1,11,12,1,1,0.0
53216640,11,1,11,12,1,1,0.0
53216642,11,1,11,11,1,1,0.0
53216645,11,1,11,12,1,1,0.0
53216648,11,1,11,12,1,1,0.0
53216652,11,1,11,12,1,1,0.0
53216660,11,1,11,12,1,1,0.0
53216663,11,1,11,12,1,1,0.0
53217184,6,1,12,12,1,1,0.0
55484491,3,1,3,3,1,1,0.0
55484494,0,0,3,3,1,1,0.012767653406510192
55488085,0,0,3,3,1,1,0.044661688510698266
56052164,0,0,3,3,1,1,3.1784461504124493
56052261,0,0,3,3,1,1,3.4472948566629156
56052263,0,0,0,0,0,0,14.798601729005284
56052398,0,0,3,3,1,1,3.556378155970807
60118162,1,1,1,1,1,1,0.0
60120325,7,1,7,7,1,1,0.0
61978330,4,1,4,4,1,1,0.0
62057486,4,1,5,5,1,1,0.0
69228583,8,1,8,8,1,1,0.0
69250378,5,1,5,12,1,1,0.0
69259910,1,1,1,1,1,1,0.0
69259911,1,1,1,2,1,1,0.0
69259916,1,1,1,2,1,1,0.0
69260685,0,0,0,0,0,0,71.08141169951197
69281597,0,0,0,0,0,0,74.20172016348268
69408016,0,0,2,8,1,1,0.5597524160119925
69412780,17,1,17,18,1,1,0.0
69414698,8,1,16,16,1,1,0.0
69414706,15,1,16,16,1,1,0.0
69414710,15,1,20,20,1,1,0.0
69420680,7,1,7,7,1,1,0.0
69593377,11,1,11,11,1,1,0.0
69856704,1,1,1,1,1,1,0.0
69856707,1,1,1,1,1,1,0.0
69856708,1,1,1,1,1,1,0.0
69856709,1,1,1,1,1,1,0.0
69856712,0,0,0,0,0,0,61.512631712322545
69862913,0,0,0,0,0,0,63.73000577730223
69863509,8,1,8,16,1,1,0.0
69863510,15,1,16,16,1,1,0.0
69863512,15,1,15,16,1,1,0.0
69863514,8,1,8,16,1,1,0.0
69863515,15,1,15,15,1,1,0.0
69863516,8,1,8,16,1,1,0.0
69870083,1,1,1,1,1,1,0.0
69870096,1,1,1,1,1,1,0.0
69870106,1,1,1,1,1,1,0.0
69870113,1,1,1,1,1,1,0.0
69870119,1,1,1,1,1,1,0.0
69870121,1,1,1,1,1,1,0.0
69870123,0,0,0,0,0,0,11.314150093387964
69870132,0,0,1,1,1,1,4.356653696397591
69870142,1,1,16,16,1,1,0.0
69870148,1,1,1,1,1,1,0.0
69870158,15,1,16,16,1,1,0.0
69870197,0,0,0,0,0,0,13.553014954871221
69879641,0,0,0,17,0,1,5.535848674789281
69879643,0,0,0,0,0,0,12.373821920455955
69879646,0,0,0,17,0,1,8.621867815820895
69884122,14,1,14,14,1,1,0.0
